1,Tim,Robbins
2,Morgan,Freeman
3,Bob,Gunton
4,William,Sadler
5,Clancy,Brown
6,Gil,Bellows
7,Mark,Rolston
8,James,Whitmore
9,Jeffrey,DeMunn
10,Larry,Brandenburg
11,Neil,Giuntoli
12,Brian,Libby
13,David,Proval
14,Joseph,Ragno
15,Jude,Ciccolella
16,Marlon,Brando
17,Al,Pacino
18,James,Caan
19,Richard,Castellano
20,Robert,Duvall
21,Sterling,Hayden
22,John,Marley
23,Al,Conte
24,Diane,Lettieri
25,Abe,Keaton
26,Talia,Vigoda
27,Gianni,Shire
28,Rudy,Russo
29,Al,Pacino
30,Robert,Duvall
31,Diane,Keaton
32,Robert,De Niro
33,John,Cazale
34,Talia,Shire
35,Lee,Strasberg
36,Michael,Gazzo
37,G.D.,Spradlin
38,Richard,Bright
39,Gastone,Moschin
40,Tom,Rosqui
41,Bruno,Kirby
42,Frank,Sivero
43,Francesca,De Sapio
44,Christian,Bale
45,Heath,Ledger
46,Aaron,Eckhart
47,Michael,Caine
48,Maggie,Gyllenhaal
49,Gary,Oldman
50,Morgan,Freeman
51,Monique,Curnen
52,Ron,Dean
53,Cillian,Murphy
54,Chin,Han
55,Nestor,Carbonell
56,Eric,Roberts
57,Ritchie,Coster
58,Anthony,Hall
59,Martin,Balsam
60,John,Fiedler
61,Lee,Cobb
62,E.G.,Marshall
63,Jack,Klugman
64,Edward,Binns
65,Jack,Warden
66,Henry,Fonda
67,Joseph,Sweeney
68,Ed,Begley
69,George,Voskovec
70,Robert,Webber
71,Liam,Neeson
72,Ben,Kingsley
73,Ralph,Fiennes
74,Caroline,Goodall
75,Jonathan,Sagall
76,Embeth,Davidtz
77,Malgorzata,Gebel
78,Shmuel,Levy
79,Mark,Ivanir
80,Béatrice,Macola
81,Andrzej,Seweryn
82,Friedrich,von Thun
83,Krzysztof,Luft
84,Harry,Nehring
85,Norbert,Weisser
86,Tim,Roth
87,Amanda,Plummer
88,Laura,Lovelace
89,John,Travolta
90,Samuel,Jackson
91,Phil,LaMarr
92,Frank,Whaley
93,Burr,Steers
94,Bruce,Willis
95,Ving,Rhames
96,Paul,Calderon
97,Bronagh,Gallagher
98,Rosanna,Arquette
99,Eric,Stoltz
100,Uma,Thurman
101,Noel,Appleby
102,Ali,Astin
103,Sean,Astin
104,David,Aston
105,John,Bach
106,Sean,Bean
107,Cate,Blanchett
108,Orlando,Bloom
109,Billy,Boyd
110,Sadwyn,Brophy
111,Alistair,Browning
112,Marton,Csokas
113,Richard,Edge
114,Jason,Fitch
115,Bernard,Hill
116,Eli,Wallach
117,Clint,Eastwood
118,Lee,Van Cleef
119,Aldo,Giuffrè
120,Luigi,Pistilli
121,Rada,Rassimov
122,Enzo,Petito
123,Claudio,Scarchilli
124,John,Bartha
125,Livio,Lorenzon
126,Antonio,Casale
127,Sandro,Scarchilli
128,Benito,Stefanelli
129,Angelo,Novi
130,Antonio,Casas
131,Tom,Hanks
132,Rebecca,Williams
133,Sally,Field
134,Michael,Humphreys
135,Harold,Herthum
136,George,Kelly
137,Bob,Penny
138,John,Randall
139,Sam,Anderson
140,Margo,Moorer
141,Ione,Telech
142,Christine,Seabrook
143,Peter,Worsham
144,Siobhan,Dobson
145,Alan,Fallon Hogan
146,Noel,Howard
147,Sean,Appleby
148,Sala,Astin
149,Sean,Baker
150,Cate,Bean
151,Orlando,Blanchett
152,Billy,Bloom
153,Marton,Boyd
154,Megan,Csokas
155,Michael,Edwards
156,Mark,Elsworth
157,Ian,Ferguson
158,Christopher,Holm
159,Lawrence,Lee
160,Edward,Makoare
161,Brad,Norton
162,Meat,Pitt
163,Zach,Loaf
164,Richmond,Grenier
165,David,Arquette
166,George,Andrews
167,Eugenie,Maguire
168,Helena,Bondurant
169,Christina,Carter
170,Sydney,Cabot
171,Rachel,Colston
172,Christie,Singer
173,Tim,Cronenweth
174,Ezra,DeZarn
175,Leonardo,Buzzington
176,Joseph,DiCaprio
177,Ellen,Gordon-Levitt
178,Tom,Page
179,Ken,Hardy
180,Dileep,Watanabe
181,Cillian,Rao
182,Tom,Berenger
183,Marion,Cotillard
184,Pete,Postlethwaite
185,Michael,Caine
186,Lukas,Haas
187,Tai-Li,Lee
188,Claire,Geare
189,Magnus,Nolan
190,Caglar,Ertugrul
191,Ufuk,Bayraktar
192,Ahu,Türkpençe
193,Murat,Serezli
194,Atilgan,Gümüş
195,Murat,Arkin
196,Armagan,Oguz
197,Ahmet,Pinar
198,Açelya,Özcan
199,Bedii,Akin
200,Eylül,Arular
201,Buse,Varol
202,Ozan,Ağaç
203,Emir,Benderlioğlu
204,Ender,Arular
205,Sushant,Rajput
206,Sanjana,Sanghi
207,Sahil,Vaid
208,Saswata,Chatterjee
209,Swastika,Mukherjee
210,Sunit,Tandon
211,Saif,Khan
212,Michael,Muthu
213,Rajie,Sarathi
214,Subbalakshmi,Subbalakshmi
215,Franaita,Jijana
216,Durgesh,Kumar
217,Salone,Mehta
218,Anandita,Sarkar
219,Nimisha,Dean
220,Jack,Nicholson
221,Louise,Fletcher
222,Will,Sampson
223,Michael,Berryman
224,Alonzo,Brown
225,Peter,Brocco
226,Scatman,Crothers
227,Dean,Brooks
228,Mwako,Cumbuka
229,Danny,DeVito
230,William,Duell
231,Josip,Elic
232,Lan,Fendors
233,Nathan,George
234,Ken,Kenny
235,Mark,Hamill
236,Harrison,Ford
237,Carrie,Fisher
238,Billy,Williams
239,Anthony,Daniels
240,David,Prowse
241,Peter,Mayhew
242,Kenny,Baker
243,Frank,Oz
244,Alec,Guinness
245,Jeremy,Bulloch
246,John,Hollis
247,Jack,Purvis
248,Des,Webb
249,Clive,Revill
250,Robert,De Niro
251,Ray,Liotta
252,Joe,Pesci
253,Lorraine,Bracco
254,Paul,Sorvino
255,Frank,Sivero
256,Tony,Darrow
257,Mike,Starr
258,Frank,Vincent
259,Chuck,Low
260,Frank,DiLeo
261,Henny,Youngman
262,Gina,Mastrogiacomo
263,Catherine,Scorsese
264,Charles,Scorsese
265,Keanu,Reeves
266,Laurence,Fishburne
267,Carrie-Anne,Moss
268,Hugo,Weaving
269,Gloria,Foster
270,Joe,Pantoliano
271,Marcus,Chong
272,Julian,Arahanga
273,Matt,Doran
274,Belinda,McClory
275,Anthony,Parker
276,Paul,Goddard
277,Robert,Taylor
278,David,Aston
279,Marc,Gray
280,Bruce,Allpress
281,Sean,Astin
282,John,Bach
283,Sala,Baker
284,Cate,Blanchett
285,Orlando,Bloom
286,Billy,Boyd
287,Jed,Brophy
288,Sam,Comery
289,Brad,Dourif
290,Calum,Gittins
291,Bernard,Hill
292,Bruce,Hopkins
293,Paris,Strewe
294,Christopher,Lee
295,James,Stewart
296,Donna,Reed
297,Lionel,Barrymore
298,Thomas,Mitchell
299,Henry,Travers
300,Beulah,Bondi
301,Frank,Faylen
302,Ward,Bond
303,Gloria,Grahame
304,H.B.,Warner
305,Frank,Albertson
306,Todd,Karns
307,Samuel,Hinds
308,Mary,Treen
309,Virginia,Patton
310,Toshirô,Mifune
311,Takashi,Shimura
312,Keiko,Tsushima
313,Yukiko,Shimazaki
314,Kamatari,Fujiwara
315,Daisuke,Katô
316,Isao,Kimura
317,Minoru,Chiaki
318,Seiji,Miyaguchi
319,Yoshio,Kosugi
320,Bokuzen,Hidari
321,Yoshio,Inaba
322,Yoshio,Tsuchiya
323,Kokuten,Kôdô
324,Eijirô,Tôno
325,Mark,Hamill
326,Harrison,Ford
327,Carrie,Fisher
328,Peter,Cushing
329,Alec,Guinness
330,Anthony,Daniels
331,Kenny,Baker
332,Peter,Mayhew
333,David,Prowse
334,Phil,Brown
335,Shelagh,Fraser
336,Jack,Purvis
337,Alex,McCrindle
338,Eddie,Byrne
339,Drewe,Henley
340,Jodie,Foster
341,Lawrence,Bonney
342,Kasi,Lemmons
343,Lawrence,Wrentz
344,Scott,Glenn
345,Anthony,Heald
346,Frankie,Faison
347,Don,Brockett
348,Frank,Seals Jr.
349,Stuart,Rudin
350,Anthony,Hopkins
351,Maria,Skorobogatov
352,Jeffrie,Lane
353,Leib,Lensky
354,George,Schwartz
355,Morgan,Freeman
356,Andrew,Walker
357,Daniel,Zacapa
358,Brad,Pitt
359,Gwyneth,Paltrow
360,John,Cassini
361,Bob,Mack
362,Peter,Crombie
363,Reg,Cathey
364,R.,Ermey
365,George,Christy
366,Endre,Hules
367,Hawthorne,James
368,William,Davidson
369,Roberto,Collins
370,Nicoletta,Benigni
371,Giorgio,Braschi
372,Giustino,Cantarini
373,Sergio,Durano
374,Marisa,Bini Bustric
375,Horst,Paredes
376,Lidia,Buchholz
377,Giuliana,Alfonsi
378,Amerigo,Lojodice
379,Pietro,Fontani
380,Francesco,De Silva
381,Raffaella,Guzzo
382,Claudio,Lebboroni
383,Gil,Alfonsi
384,Tom,Baroni
385,David,Hanks
386,Bonnie,Morse
387,Michael,Hunt
388,James,Duncan
389,Michael,Cromwell
390,Graham,Jeter
391,Doug,Greene
392,Sam,Hutchison
393,Barry,Rockwell
394,Jeffrey,Pepper
395,Patricia,DeMunn
396,Harry,Clarkson
397,Dabbs,Stanton
398,Eve,Greer
399,Tom,Brent
400,Tom,Hanks
401,Edward,Sizemore
402,Barry,Burns
403,Adam,Pepper
404,Vin,Goldberg
405,Giovanni,Diesel
406,Jeremy,Ribisi
407,Matt,Davies
408,Ted,Damon
409,Paul,Danson
410,Dennis,Giamatti
411,Joerg,Farina
412,Max,Stadler
413,Dylan,Martini
